intersection_group,window_start,window_end,from_inter_id,turn_typ2to_inter,movement_count,total_count,movement_ratio
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,l,43,488,0.0881147540983606
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,s,233,488,0.4774590163934426
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,unknown,212,488,0.4344262295081967
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,l,223,2699,0.0826231937754723
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,r,248,2699,0.091885883660615
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,s,1230,2699,0.4557243423490181
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,unknown,998,2699,0.3697665802148944
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,l,129,1966,0.065615462868769
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,r,332,1966,0.1688708036622584
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,s,469,1966,0.2385554425228891
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,unknown,1036,1966,0.5269582909460834
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,l,20,197,0.1015228426395939
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,s,45,197,0.2284263959390862
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,unknown,132,197,0.6700507614213198
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,l,290,2491,0.1164191087916499
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,r,200,2491,0.0802890405459654
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,s,1234,2491,0.495383380168607
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,unknown,767,2491,0.3079084704937776
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,l,9,728,0.0123626373626373
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,r,205,728,0.2815934065934066
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,s,218,728,0.2994505494505494
