intersection_group,window_start,window_end,from_inter_id,turn_typ2to_inter,movement_count,total_count,movement_ratio
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,l,43,488,0.08811475409836066
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,s,233,488,0.4774590163934426
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215828,unknown,212,488,0.4344262295081967
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,l,223,2699,0.08262319377547239
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,r,248,2699,0.09188588366061504
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,s,1230,2699,0.45572434234901815
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,215997,unknown,998,2699,0.3697665802148944
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,l,129,1966,0.06561546286876907
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,r,332,1966,0.1688708036622584
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,s,469,1966,0.23855544252288913
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,216827,unknown,1036,1966,0.5269582909460834
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,l,20,197,0.10152284263959391
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,s,45,197,0.22842639593908629
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217073,unknown,132,197,0.6700507614213198
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,l,290,2491,0.11641910879164993
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,r,200,2491,0.08028904054596547
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,s,1234,2491,0.495383380168607
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217446,unknown,767,2491,0.3079084704937776
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,l,9,728,0.012362637362637362
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,r,205,728,0.2815934065934066
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,s,218,728,0.29945054945054944
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217645,unknown,296,728,0.4065934065934066
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,l,332,3304,0.10048426150121065
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,r,298,3304,0.09019370460048426
15+16,2022-05-09 08:00:00,2022-05-09 09:00:00,217715,s,1396,3304,0.4225181598062954
