intersection_group,time_bin,vehicle_count,arrival_rate_per_min,mean_interarrival_sec,avg_speed,avg_delay,queue_ratio,long_queue_ratio,direction_imbalance,signal_imbalance,bottleneck_score
16,2022-05-09 03:35:00,113,22.6,2.6548672566371683,11.376948835375854,0.20395765929581888,0.0,0.0,0.16250293680006267,0.0,0.18944351990744512
16,2022-05-09 03:40:00,86,17.2,3.488372093023256,12.081126671816412,0.15602444797653847,0.0,0.0,0.14981070849107625,0.0,0.10149132891471331
16,2022-05-09 03:45:00,56,11.2,5.357142857142857,12.656772243740699,0.1347856855668757,0.0,0.0,0.15306122448979592,0.0,0.05203289240965999
16,2022-05-09 03:50:00,121,24.2,2.479338842975207,11.813192197539438,0.14545244017341846,0.0,0.0,0.1353049655078205,0.0,0.10125292788906805
16,2022-05-09 03:55:00,104,20.8,2.8846153846153846,11.885570274056864,0.1562883703111114,0.0,0.0,0.17880917159763315,0.0,0.1303760842609585
16,2022-05-09 04:00:00,50,10.0,6.0,11.365448328992283,0.1990552360475161,0.0,0.0,0.1944,0.0,0.19987010996164095
16,2022-05-09 04:05:00,136,27.2,2.2058823529411766,11.958711074153998,0.15270287794160703,0.0,0.0,0.16046712802768165,0.0,0.1150620989898283
16,2022-05-09 04:10:00,127,25.4,2.3622047244094486,12.009960672465247,0.16778489337060512,0.0,0.0,0.13981027962055922,0.0,0.1124221814990475
16,2022-05-09 04:15:00,69,13.8,4.3478260869565215,11.336145149941395,0.1773269348057653,0.0,0.0,0.13925645872715817,0.0,0.15263895410561712
16,2022-05-09 04:20:00,149,29.8,2.0134228187919465,11.886360055645053,0.1672166785942007,0.0,0.0,0.1412999414440791,0.0,0.12108898388543071
16,2022-05-09 04:25:00,114,22.8,2.6315789473684212,12.046730408353195,0.16507203913451546,0.0,0.0,0.16805170821791318,0.0,0.12352304732534305
16,2022-05-09 04:30:00,79,15.8,3.7974683544303796,11.331187354794503,0.2029343755031805,0.0,0.0,0.16840249959942316,0.0,0.19205279515192816
16,2022-05-09 04:35:00,137,27.4,2.18978102189781,11.630812949465392,0.1605193798158901,0.0072992700729927005,0.0,0.1837604560711812,0.0,0.18834601455945676
16,2022-05-09 04:40:00,130,26.0,2.3076923076923075,11.708229419439023,0.1913964932501447,0.007692307692307693,0.0,0.15396449704142012,0.0,0.19437096782648422
16,2022-05-09 04:45:00,103,20.6,2.912621359223301,11.586276191478056,0.181935707908483,0.0,0.0,0.12904137996041096,0.0,0.13945293040617945
16,2022-05-09 04:50:00,208,41.6,1.4423076923076923,11.752551475604612,0.17950648703519956,0.0,0.0,0.13826738165680474,0.0,0.14117856870525194
16,2022-05-09 04:55:00,188,37.6,1.5957446808510638,12.00814272803645,0.16402023011411201,0.0,0.0,0.14571072883657765,0.0,0.11710125252460188
16,2022-05-09 05:00:00,103,20.6,2.912621359223301,11.683176420434089,0.17661444269698062,0.0,0.0,0.14186068432463,0.0,0.13710370947947578
16,2022-05-09 05:05:00,247,49.4,1.214574898785425,11.741560412564603,0.1869406867264332,0.0,0.0,0.1359635463620122,0.0,0.14949376176654797
16,2022-05-09 05:10:00,233,46.6,1.2875536480686696,11.557099891416375,0.19800282102074435,0.0,0.0,0.13713643647884471,0.0,0.16852837144496877
16,2022-05-09 05:15:00,149,29.8,2.0134228187919465,11.612080733743122,0.1877209937827196,0.0,0.0,0.13715598396468628,0.0,0.15089463649355858
16,2022-05-09 05:20:00,283,56.6,1.0600706713780919,11.610543219974184,0.17787077780006152,0.0,0.0,0.14130529785613505,0.0,0.15461663366609565
16,2022-05-09 05:25:00,301,60.2,0.9966777408637874,11.794852478473594,0.1867869087010881,0.0033222591362126247,0.0,0.13833180649220206,0.0,0.16777030684674352
16,2022-05-09 05:30:00,238,47.6,1.2605042016806722,11.54974512719858,0.18696236845956343,0.0,0.0,0.1332179930795848,0.0,0.15771010826649304
16,2022-05-09 05:35:00,407,81.4,0.7371007371007371,11.563645590113742,0.19282593113177657,0.002457002457002457,0.0,0.15188138775362361,0.0,0.19662016149499734
16,2022-05-09 05:40:00,436,87.2,0.6880733944954128,11.512408079198744,0.19355442630965988,0.0,0.0,0.14700993182392055,0.0,0.1873747936682413
16,2022-05-09 05:45:00,291,58.2,1.0309278350515463,11.19899088498408,0.21745166163130816,0.006872852233676976,0.0,0.14209799128493994,0.0,0.2446719615519655
16,2022-05-09 05:50:00,483,96.6,0.6211180124223602,11.128097206419772,0.20747364761366893,0.0,0.0,0.15131017750515457,0.0,0.22583422757539515
16,2022-05-09 05:55:00,538,107.6,0.5576208178438662,11.092315414054564,0.22427325273164259,0.0037174721189591076,0.0,0.14393112311880707,0.0,0.25960386152598985
16,2022-05-09 06:00:00,327,65.4,0.9174311926605505,11.30253723052186,0.20773661213953495,0.0,0.0,0.13211570294307437,0.0,0.19437106295880535
16,2022-05-09 06:05:00,541,108.2,0.5545286506469501,11.602076170235568,0.17636687324810602,0.0,0.0,0.1644418325753978,0.0,0.18555796516018952
16,2022-05-09 06:10:00,682,136.4,0.4398826979472141,12.032870493638182,0.16682262818240173,0.004398826979472141,0.0,0.16818310816040455,0.0,0.18760303653604582
16,2022-05-09 06:15:00,474,94.8,0.6329113924050633,11.406765590000605,0.1966713917118684,0.004219409282700422,0.0,0.1414481297512863,0.0,0.21567111410527506
