intersection_group,window_start,window_end,inter_id,signal_start_time,signal_end_time,phase,signal_state,duration_sec,offset_sec
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:51:00,2022-05-09 08:51:57,phase_103,GGGGGrrrrrrGGGGrrrrrr,57.0,3060.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:51:57,2022-05-09 08:52:00,phase_104,Gyyyyyrrrrrrrrrrrrrrr,3.0,3117.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:52:00,2022-05-09 08:52:57,phase_105,GGGGGGrrrrrrrrrrrrrrr,57.0,3120.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:52:57,2022-05-09 08:53:00,phase_106,grrrrrrrrryrrrrrrrrry,3.0,3177.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:53:00,2022-05-09 08:53:57,phase_107,grrrrrrrrrrGGGGGrrrrr,57.0,3180.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:53:57,2022-05-09 08:54:00,phase_108,GGGGGrrrrrryyyyrrrrrr,3.0,3237.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:54:00,2022-05-09 08:54:57,phase_109,GGGGGGrrrrrrrrrrrrrrr,57.0,3240.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:54:57,2022-05-09 08:55:00,phase_110,grrrrryyyyrrrrrryyyyr,3.0,3297.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:55:00,2022-05-09 08:55:57,phase_111,grrrrrrrrrGrrrrrrrrrG,57.0,3300.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:55:57,2022-05-09 08:56:00,phase_112,grrrrrrrrryrrrrrrrrry,3.0,3357.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:56:00,2022-05-09 08:56:57,phase_113,GGGGGrrrrrrGGGGrrrrrr,57.0,3360.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:56:57,2022-05-09 08:57:00,phase_114,Gyyyyyrrrrrrrrrrrrrrr,3.0,3417.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:57:00,2022-05-09 08:57:57,phase_115,grrrrrGGGGrrrrrrGGGGr,57.0,3420.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:57:57,2022-05-09 08:58:00,phase_116,grrrrrrrrryrrrrrrrrry,3.0,3477.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:58:00,2022-05-09 08:58:57,phase_117,grrrrrrrrrrGGGGGrrrrr,57.0,3480.0
15,2022-05-09 08:00:00,2022-05-09 09:00:00,215173,2022-05-09 08:58:57,2022-05-09 08:59:00,phase_118,grrrrrrrrrrGGGGyrrrrr,3.0,3537.0
