intersection_group,inter_id,movement,char_index,phase,start_sec,end_sec,duration_sec,state
15,215173,4,3,phase_92,2757.0,2760.0,3.0,green
15,215173,4,3,phase_93,2760.0,2817.0,57.0,green
15,215173,4,3,phase_94,2817.0,2820.0,3.0,red
15,215173,4,3,phase_95,2820.0,2877.0,57.0,red
15,215173,4,3,phase_96,2877.0,2880.0,3.0,red
15,215173,4,3,phase_97,2880.0,2937.0,57.0,red
15,215173,4,3,phase_98,2937.0,2940.0,3.0,yellow
15,215173,4,3,phase_99,2940.0,2997.0,57.0,red
15,215173,4,3,phase_100,2997.0,3000.0,3.0,red
15,215173,4,3,phase_101,3000.0,3057.0,57.0,red
15,215173,4,3,phase_102,3057.0,3060.0,3.0,red
15,215173,4,3,phase_103,3060.0,3117.0,57.0,green
15,215173,4,3,phase_104,3117.0,3120.0,3.0,yellow
15,215173,4,3,phase_105,3120.0,3177.0,57.0,green
15,215173,4,3,phase_106,3177.0,3180.0,3.0,red
